Игрок;Команда;Index;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные;Тур
Игорь Лебеденко;Торпедо Москва;191;24;АП Л;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5.00;60 %;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5.00;2.00;1.00;-;-;-;4.00;50 %;-;-;4.00;50 %;2.00;0 %;1.00;100 %;-;-;-;-;1.00;1.00;1;-;-;1.00;13.00;8.00;62 %;-;-;-;-;-;-;-;-;-;0.61;-0.61;0.01;0.01;3.00;-;-;-;-;-;-;-;2.00;-;2.00;-;1.00;-;-;7
Андрюс Рукас;СКА-Хабаровск;179;24;З ЛЦ;-;-;-;-;-;-;1.00;-;-;-;1.00;-;-;-;-;-;8.00;100 %;-;-;-;-;3.00;100 %;-;-;-;-;2.00;100 %;-;-;-;-;-;3.00;-;-;4.00;100 %;3.00;100 %;1.00;100 %;4.00;100 %;-;-;-;-;-;-;1.00;3.00;1;-;-;1.00;16.00;16.00;100 %;-;-;-;-;-;-;-;-;0.55;0.82;-0.27;-;-;8.00;-;-;3.00;-;-;2.00;-;4.00;3.00;1.00;4.00;-;-;-;7
Илья Стефанович;Торпедо Москва;163;24;Ф Ц;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4.00;50 %;-;-;1.00;0 %;1.00;100 %;-;-;-;-;-;-;1.00;0 %;3.00;-;1.00;-;-;-;4.00;0 %;-;-;4.00;0 %;4.00;0 %;-;-;-;-;-;-;-;-;1;-;-;1.00;9.00;2.00;22 %;-;-;-;-;-;-;-;-;-;0.61;-0.61;0.08;0.08;2.00;-;-;1.00;-;-;-;-;-;-;-;-;-;-;-;7
Абу-Сад Элударушев;ФК Акрон Тольятти;166;23;Ф Ц;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4.00;100 %;-;-;-;-;1.00;100 %;-;-;-;-;1.00;100 %;-;-;2.00;-;-;-;-;-;4.00;25 %;-;-;4.00;25 %;3.00;33 %;-;-;-;-;-;-;-;1.00;1;-;-;1.00;9.00;6.00;67 %;-;-;-;-;-;-;-;-;0.07;0.44;-0.37;-;-;4.00;-;-;1.00;-;-;1.00;-;1.00;-;1.00;1.00;-;-;-;7
Евгений Песегов;ФК Акрон Тольятти;184;23;АП Ц;-;-;-;-;-;-;-;-;1.00;1.00;-;-;-;-;-;-;19.00;89 %;-;-;-;-;6.00;67 %;2.00;100 %;-;-;2.00;100 %;3.00;67 %;2.00;1.00;-;3.00;2.00;-;2.00;100 %;2.00;100 %;-;-;-;-;-;-;-;-;2.00;100 %;-;4.00;1;-;-;1.00;25.00;23.00;92 %;-;-;-;-;-;-;-;-;0.07;0.44;-0.37;-;-;17.00;-;-;4.00;2.00;-;2.00;2.00;2.00;2.00;-;-;-;-;2.00;7
Лев Скворцов;Химки;191;23;ЗП П;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9.00;67 %;-;-;1.00;0 %;3.00;33 %;-;-;-;-;2.00;50 %;2.00;0 %;1.00;-;1.00;1.00;-;-;4.00;50 %;1.00;100 %;3.00;33 %;3.00;33 %;-;-;-;-;-;-;1.00;2.00;1;-;-;1.00;17.00;11.00;65 %;-;-;-;-;-;-;-;-;0.16;0.06;0.10;-;-;6.00;-;-;1.00;-;-;1.00;-;2.00;1.00;1.00;1.00;-;-;-;7
Данил Степанов;Химки;194;23;ЗП Л;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16.00;75 %;-;-;2.00;0 %;3.00;67 %;-;-;-;-;3.00;100 %;3.00;33 %;2.00;1.00;-;-;-;2.00;5.00;100 %;4.00;100 %;1.00;100 %;2.00;100 %;-;-;-;-;2.00;100 %;1.00;1.00;1;-;-;1.00;25.00;21.00;84 %;-;-;-;-;0.26;-;-;-;0.16;0.06;0.10;-;-;12.00;-;-;2.00;-;-;3.00;1.00;5.00;4.00;1.00;2.00;-;-;2.00;7
Константин Базелюк;Нефтехимик Нижнекамск;233;22;АП ПЦ;1.00;-;1.00;1.00;100 %;-;-;1.00;-;-;-;-;1.00;1.00;1.00;0.75;5.00;80 %;-;-;1.00;0 %;-;-;-;-;-;-;-;-;1.00;0 %;2.00;-;-;1.00;1.00;-;5.00;80 %;1.00;100 %;4.00;75 %;2.00;100 %;1.00;100 %;1.00;100 %;1.00;100 %;-;1.00;1;-;-;1.00;12.00;10.00;83 %;100 %;-;-;-;-;0.75;0.75;1.33;-;-;-;-;-;4.00;-;-;-;-;-;-;-;4.00;1.00;3.00;2.00;1.00;1.00;1.00;7
Борис Фартуна;КамАЗ Набережные Челны;192;22;АП П;-;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;9.00;67 %;-;-;-;-;1.00;100 %;-;-;-;-;-;-;2.00;0 %;2.00;-;-;1.00;-;1.00;4.00;50 %;1.00;0 %;3.00;67 %;-;-;1.00;100 %;1.00;100 %;1.00;0 %;1.00;1.00;1;-;-;1.00;16.00;11.00;69 %;-;-;-;-;-;-;-;-;0.33;0.35;-0.02;-;-;6.00;-;-;1.00;-;-;-;-;2.00;-;2.00;-;1.00;1.00;-;7
Юрий Кириллов;КамАЗ Набережные Челны;193;22;П ПЦ;-;-;-;-;-;-;3.00;-;-;-;-;-;-;-;-;-;11.00;55 %;-;-;2.00;0 %;5.00;60 %;1.00;100 %;-;-;2.00;100 %;3.00;0 %;3.00;-;-;-;-;-;3.00;0 %;3.00;0 %;-;-;-;-;-;-;-;-;1.00;0 %;-;3.00;1;-;-;1.00;17.00;9.00;53 %;-;-;-;-;-;-;-;-;0.33;0.35;-0.02;-;-;6.00;-;-;3.00;1.00;-;2.00;-;-;-;-;-;-;-;-;7
Анатолий Немченко;Енисей Красноярск;192;22;АП Ц;-;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;11.00;91 %;-;-;2.00;50 %;-;-;-;-;-;-;-;-;2.00;100 %;-;-;-;1.00;-;1.00;4.00;75 %;1.00;100 %;3.00;67 %;2.00;50 %;-;-;-;-;1.00;100 %;1.00;2.00;1;-;-;1.00;19.00;17.00;89 %;-;-;-;-;0.15;-;-;-;0.82;0.55;0.27;-;-;10.00;-;1.00;-;-;-;-;2.00;3.00;1.00;2.00;1.00;-;-;1.00;7
Марат Ситдиков;Нефтехимик Нижнекамск;194;22;ЗП Л;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14.00;71 %;-;-;2.00;0 %;5.00;40 %;2.00;0 %;-;-;2.00;50 %;3.00;33 %;3.00;-;-;5.00;2.00;-;3.00;67 %;1.00;100 %;2.00;50 %;-;-;2.00;50 %;1.00;0 %;1.00;100 %;1.00;5.00;1;-;-;1.00;23.00;18.00;78 %;-;-;-;-;-;-;-;-;-;-;-;-;-;10.00;-;-;2.00;-;-;1.00;1.00;2.00;1.00;1.00;-;1.00;-;1.00;7
Денис Талалай;Нефтехимик Нижнекамск;171;22;ЗП ЛЦ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7.00;86 %;-;-;-;-;2.00;100 %;-;-;-;-;1.00;100 %;-;-;1.00;1.00;-;-;-;2.00;3.00;67 %;1.00;0 %;2.00;100 %;1.00;0 %;-;-;-;-;-;-;-;-;1;-;-;1.00;12.00;10.00;83 %;-;-;-;-;-;-;-;-;-;-;-;-;-;6.00;-;-;2.00;-;-;1.00;-;2.00;-;2.00;-;-;-;-;7
Дэнис Файзуллин;Арсенал Тула;181;21;АП П;-;-;-;-;-;-;-;1.00;-;-;-;-;-;1.00;-;0.02;11.00;55 %;-;-;5.00;0 %;1.00;100 %;1.00;100 %;1.00;100 %;-;-;2.00;0 %;4.00;1.00;1.00;-;-;3.00;5.00;20 %;1.00;0 %;4.00;25 %;2.00;0 %;-;-;-;-;1.00;0 %;-;1.00;1;-;-;1.00;22.00;11.00;50 %;0 %;1.00;-;-;0.02;0.02;-;0.00;0.60;-;0.60;-;-;6.00;-;-;1.00;1.00;1.00;-;-;1.00;-;1.00;-;-;-;-;7
Михаил Гащенков;Шинник;193;21;П ЛЦ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4.00;100 %;-;-;-;-;2.00;100 %;1.00;100 %;-;-;2.00;100 %;-;-;-;-;-;2.00;1.00;-;7.00;43 %;5.00;40 %;2.00;50 %;3.00;33 %;-;-;-;-;2.00;100 %;1.00;-;1;-;-;1.00;12.00;8.00;67 %;-;-;-;-;-;-;-;-;0.50;0.78;-0.28;-;-;4.00;-;-;2.00;1.00;-;2.00;-;3.00;2.00;1.00;1.00;-;-;2.00;7
Максим Караев;Сокол Саратов;189;21;АП Л;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20.00;65 %;-;-;3.00;0 %;2.00;0 %;2.00;0 %;-;-;2.00;0 %;4.00;25 %;1.00;-;-;1.00;-;-;5.00;60 %;3.00;67 %;2.00;50 %;3.00;33 %;-;-;-;-;2.00;100 %;2.00;2.00;1;-;-;1.00;29.00;20.00;69 %;-;-;-;-;0.14;-;-;-;0.17;-;0.17;-;-;13.00;-;-;-;-;-;-;1.00;3.00;2.00;1.00;1.00;-;-;2.00;7
Игорь Леонтьев;Сокол Саратов;171;21;ЗП ЛЦ;-;-;-;-;-;-;-;-;-;-;-;-;-;1.00;-;0.01;16.00;69 %;-;-;-;-;3.00;0 %;1.00;0 %;-;-;2.00;50 %;1.00;0 %;4.00;1.00;-;2.00;2.00;-;5.00;40 %;3.00;67 %;2.00;0 %;1.00;0 %;-;-;-;-;2.00;100 %;3.00;1.00;1;-;-;1.00;26.00;17.00;65 %;0 %;1.00;-;-;-;0.01;-;0.00;0.17;-;0.17;-;-;11.00;-;-;-;-;-;1.00;-;2.00;2.00;-;-;-;-;2.00;7
Алекс Мацукатов;Арсенал Тула;185;21;П ЛЦ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10.00;70 %;-;-;1.00;0 %;-;-;-;-;-;-;-;-;3.00;33 %;2.00;-;1.00;-;-;-;3.00;0 %;2.00;0 %;1.00;0 %;1.00;0 %;-;-;-;-;1.00;0 %;-;-;1;-;-;1.00;14.00;7.00;50 %;-;-;-;-;-;-;-;-;0.60;-;0.60;-;-;7.00;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;7
Артём Самсонов;Торпедо Москва;189;20;ЗЛ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7.00;100 %;-;-;-;-;1.00;100 %;-;-;-;-;1.00;100 %;-;-;-;-;-;2.00;-;-;3.00;100 %;3.00;100 %;-;-;1.00;100 %;-;-;-;-;1.00;100 %;1.00;1.00;1;-;-;1.00;12.00;12.00;100 %;-;-;-;-;-;-;-;-;-;0.60;-0.60;-;-;7.00;-;-;1.00;-;-;1.00;-;3.00;3.00;-;1.00;-;-;1.00;7
Артём Делькин;Черноморец;172;18;Ф Ц;-;-;1.00;-;0 %;-;-;-;-;-;-;-;-;1.00;-;0.35;3.00;100 %;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1.00;-;-;-;-;-;2.00;50 %;-;-;2.00;50 %;1.00;0 %;-;-;-;-;-;-;-;-;1;-;-;1.00;6.00;4.00;67 %;0 %;1.00;-;-;-;0.35;-;0.00;0.35;0.33;0.02;-;-;3.00;-;-;-;-;-;-;-;1.00;-;1.00;-;-;-;-;7
Александр Безчаснюк;Родина Москва;195;17;З П;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8.00;100 %;-;-;-;-;2.00;100 %;1.00;100 %;-;-;-;-;-;-;-;-;-;1.00;-;-;2.00;100 %;2.00;100 %;-;-;-;-;-;-;-;-;1.00;100 %;2.00;1.00;1;-;-;1.00;14.00;14.00;100 %;-;-;-;-;-;-;-;-;-;-;-;-;-;8.00;-;-;2.00;1.00;-;-;-;2.00;2.00;-;-;-;-;1.00;7
Амур Калмыков;Родина Москва;203;17;Ф ПЦ;1.00;-;1.00;1.00;100 %;-;-;-;-;-;-;-;-;1.00;1.00;0.75;4.00;100 %;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1.00;1.00;-;1.00;-;-;2.00;0 %;1.00;0 %;1.00;0 %;1.00;0 %;-;-;-;-;-;-;1.00;1.00;1;-;-;1.00;9.00;7.00;78 %;100 %;-;-;-;-;0.75;0.75;1.33;-;-;-;-;-;4.00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
Ираклий Логуа;Енисей Красноярск;182;17;Ф ЛЦ;-;-;-;-;-;-;-;-;-;-;-;-;-;1.00;1.00;0.04;4.00;100 %;-;-;-;-;1.00;100 %;-;-;-;-;1.00;100 %;-;-;-;-;-;-;-;-;3.00;67 %;1.00;100 %;2.00;50 %;1.00;0 %;-;-;-;-;1.00;100 %;-;-;1;-;-;1.00;8.00;7.00;88 %;100 %;-;-;-;0.04;0.04;-;0.00;0.15;0.55;-0.40;-;-;4.00;-;-;1.00;-;-;1.00;-;2.00;1.00;1.00;-;-;-;1.00;7
Константин Шильцов;Родина Москва;191;17;Ф ЛЦ;-;-;-;-;-;1.00;-;1.00;-;-;-;-;-;-;-;-;6.00;83 %;-;-;-;-;1.00;0 %;-;-;-;-;-;-;-;-;1.00;1.00;1.00;1.00;1.00;-;5.00;60 %;2.00;0 %;3.00;100 %;1.00;100 %;2.00;100 %;2.00;100 %;1.00;0 %;1.00;1.00;1;-;-;1.00;14.00;10.00;71 %;-;-;-;-;-;-;-;-;-;-;-;-;-;5.00;-;-;-;-;-;-;-;3.00;-;3.00;1.00;2.00;2.00;-;7
Данил Казанцев;Сокол Саратов;182;16;ЗП ПЦ;-;-;-;-;-;-;-;1.00;-;-;-;-;-;1.00;-;0.02;13.00;85 %;-;-;-;-;1.00;100 %;-;-;-;-;1.00;0 %;-;-;1.00;-;-;1.00;-;1.00;4.00;100 %;2.00;100 %;2.00;100 %;3.00;100 %;-;-;-;-;-;-;-;1.00;1;-;-;1.00;20.00;17.00;85 %;0 %;1.00;-;-;-;0.02;-;0.00;0.17;-;0.17;-;-;11.00;-;-;1.00;-;-;-;-;4.00;2.00;2.00;3.00;-;-;-;7
Михаил Маркин;Ленинградец;172;16;Ф Ц;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;-;8.00;63 %;-;-;-;-;2.00;50 %;-;-;-;-;1.00;0 %;-;-;5.00;1.00;-;-;-;-;9.00;22 %;5.00;0 %;4.00;50 %;6.00;33 %;-;-;-;-;-;-;-;1.00;1;-;-;1.00;18.00;8.00;44 %;-;-;-;-;-;-;-;-;-;0.17;-0.17;-;-;5.00;-;-;1.00;-;-;-;-;2.00;-;2.00;2.00;-;-;-;7
Руслан Лисакович;Динамо Махачкала;185;15;ЗП ПЦ;-;-;-;-;-;-;1.00;1.00;-;-;-;-;-;-;-;-;5.00;60 %;-;-;-;-;1.00;0 %;1.00;0 %;-;-;2.00;50 %;1.00;100 %;1.00;1.00;-;-;-;-;4.00;50 %;4.00;50 %;-;-;2.00;50 %;-;-;-;-;-;-;-;1.00;1;-;-;1.00;10.00;6.00;60 %;-;-;-;-;0.20;-;-;-;0.78;0.03;0.75;-;-;3.00;-;-;-;-;-;1.00;1.00;2.00;2.00;-;1.00;-;-;-;7
Александр Сандрачук;Динамо Махачкала;193;15;ЗП П;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8.00;75 %;-;-;-;-;4.00;75 %;1.00;100 %;1.00;100 %;2.00;100 %;-;-;1.00;-;1.00;-;-;1.00;1.00;0 %;1.00;0 %;-;-;-;-;-;-;-;-;1.00;0 %;-;1.00;1;-;-;1.00;12.00;8.00;67 %;-;-;-;-;-;-;-;-;0.78;0.03;0.75;-;-;6.00;-;-;3.00;1.00;1.00;2.00;-;-;-;-;-;-;-;-;7
Темиркан Сундуков;Динамо Махачкала;194;15;ЗП Л;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8.00;88 %;-;-;-;-;1.00;100 %;-;-;-;-;1.00;100 %;1.00;0 %;-;-;-;1.00;1.00;-;5.00;100 %;2.00;100 %;3.00;100 %;2.00;100 %;-;-;-;-;-;-;1.00;1.00;1;-;-;1.00;15.00;14.00;93 %;-;-;-;-;-;-;-;-;0.78;0.03;0.75;0.03;0.03;7.00;-;-;1.00;-;-;1.00;-;5.00;2.00;3.00;2.00;-;-;-;7
Даниил Мартовой;ФК Волгарь;192;13;АП Л;-;-;-;-;-;-;-;-;-;1.00;-;-;-;2.00;-;0.06;2.00;0 %;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2.00;1.00;1.00;-;-;-;6.00;33 %;1.00;0 %;5.00;40 %;1.00;0 %;2.00;50 %;1.00;100 %;-;-;-;1.00;1;-;-;1.00;12.00;3.00;25 %;0 %;-;2.00;-;-;0.03;-;0.00;0.06;0.13;-0.07;0.13;0.13;-;-;-;-;-;-;-;-;2.00;-;2.00;-;1.00;1.00;-;7
Степан Мельников;Алания Владикавказ;191;13;АП Л;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;-;-;7.00;43 %;1.00;100 %;-;-;1.00;0 %;2.00;50 %;-;-;-;-;4.00;50 %;4.00;-;1.00;1.00;-;-;4.00;50 %;2.00;50 %;2.00;50 %;-;-;2.00;50 %;2.00;50 %;1.00;100 %;1.00;-;1;-;-;1.00;13.00;6.00;46 %;-;-;-;-;0.10;-;-;-;0.62;0.08;0.54;-;-;3.00;1.00;-;-;1.00;-;-;2.00;2.00;1.00;1.00;-;1.00;1.00;1.00;7
Азамат Засеев;Алания Владикавказ;-;13;П ПЦ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4.00;100 %;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2.00;50 %;2.00;50 %;-;-;1.00;100 %;-;-;-;-;-;-;-;2.00;1;-;-;1.00;8.00;7.00;88 %;-;-;-;-;-;-;-;-;0.62;0.08;0.54;-;-;4.00;-;-;-;-;-;-;-;1.00;1.00;-;1.00;-;-;-;7
Роман Кудрявцев;Ленинградец;189;10;ЗП ПЦ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4.00;75 %;-;-;-;-;1.00;100 %;-;-;-;-;-;-;-;-;2.00;-;1.00;2.00;-;-;3.00;67 %;1.00;100 %;2.00;50 %;2.00;50 %;-;-;-;-;-;-;1.00;1.00;1;-;-;1.00;10.00;7.00;70 %;-;-;-;-;-;-;-;-;-;0.03;-0.03;0.02;0.02;3.00;-;-;1.00;-;-;-;-;2.00;1.00;1.00;1.00;-;-;-;7
Александр Ставпец;Шинник;-;10;АП П;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1.00;-;-;-;-;-;2.00;0 %;-;-;2.00;0 %;-;-;-;-;-;-;-;-;1.00;-;1;-;-;1.00;3.00;1.00;33 %;-;-;-;-;-;-;-;-;-;0.78;-0.78;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
Андрей Яковлев;Ленинградец;-;10;АП ЛЦ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2.00;50 %;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1.00;-;1.00;-;-;-;1.00;0 %;-;-;1.00;0 %;-;-;-;-;-;-;-;-;-;-;1;-;-;1.00;5.00;2.00;40 %;-;-;-;-;-;-;-;-;-;0.03;-0.03;-;-;1.00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
Роман Защепкин;КамАЗ Набережные Челны;-;8;П ЛЦ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3.00;100 %;-;-;-;-;1.00;100 %;-;-;-;-;-;-;-;-;-;-;-;1.00;-;-;3.00;33 %;1.00;100 %;2.00;0 %;-;-;-;-;-;-;1.00;100 %;-;-;1;-;-;1.00;6.00;4.00;67 %;-;-;-;-;-;-;-;-;0.30;-;0.30;-;-;3.00;-;-;1.00;-;-;-;-;1.00;1.00;-;-;-;-;1.00;7
Илья Камышев;Родина Москва;-;7;ЗП ПЦ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2.00;100 %;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1.00;100 %;1.00;100 %;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1.00;3.00;3.00;100 %;-;-;-;-;-;-;-;-;-;-;-;-;-;2.00;-;-;-;-;-;-;-;1.00;1.00;-;-;-;-;-;7
Алимхан Зайнивов;Динамо Махачкала;210;6;АП ПЦ;-;-;-;-;-;-;-;1.00;-;-;-;-;-;1.00;-;0.20;7.00;43 %;-;-;-;-;-;-;-;-;-;-;-;-;6.00;33 %;-;-;-;-;-;-;1.00;100 %;-;-;1.00;100 %;-;-;1.00;100 %;1.00;100 %;-;-;-;1.00;1;-;-;1.00;10.00;5.00;50 %;0 %;1.00;-;-;-;0.20;-;0.00;0.33;-;0.33;-;-;3.00;-;-;-;-;-;-;2.00;1.00;-;1.00;-;1.00;1.00;-;7
Матвей Першин;Нефтехимик Нижнекамск;-;5;Ф Ц;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2.00;0 %;-;-;2.00;0 %;1.00;0 %;-;-;-;-;-;-;-;-;1;-;-;1.00;2.00;-;0 %;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
Александр Масловский;Енисей Красноярск;-;4;П Л;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2.00;0 %;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1.00;1;-;-;1.00;3.00;1.00;33 %;-;-;-;-;-;-;-;-;0.04;0.20;-0.16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
Андрей Окладников;Енисей Красноярск;-;4;Ф ПЦ;-;-;-;-;-;-;1.00;-;-;1.00;-;-;1.00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1.00;-;-;-;-;-;1.00;0 %;1.00;0 %;-;-;1.00;0 %;-;-;-;-;-;-;-;-;1;-;-;1.00;1.00;-;0 %;-;-;-;-;-;-;-;-;0.04;0.20;-0.16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
Руслан Байтуков;Тюмень;209;99;З ПЦ;-;-;-;-;-;-;-;-;-;1.00;-;-;-;-;-;-;89.00;84 %;-;-;1.00;0 %;15.00;73 %;3.00;0 %;-;-;6.00;50 %;6.00;83 %;5.00;1.00;-;11.00;3.00;1.00;14.00;71 %;12.00;67 %;2.00;100 %;7.00;86 %;-;-;-;-;3.00;33 %;10.00;5.00;1;1.00;-;-;119.00;101.00;85 %;-;-;-;-;-;-;-;-;1.71;3.84;-2.13;0.77;0.15;75.00;-;-;11.00;-;-;3.00;5.00;10.00;8.00;2.00;6.00;-;-;1.00;8
Кирилл Большаков;Арсенал Тула;221;99;З ЛЦ;1.00;-;1.00;1.00;100 %;-;1.00;1.00;1.00;2.00;-;-;-;2.00;2.00;0.93;33.00;85 %;-;-;-;-;6.00;50 %;3.00;33 %;-;-;3.00;67 %;-;-;2.00;1.00;1.00;9.00;-;-;9.00;33 %;8.00;38 %;1.00;0 %;7.00;43 %;-;-;-;-;-;-;17.00;5.00;1;1.00;-;-;68.00;56.00;82 %;100 %;-;-;-;-;0.47;0.93;1.8;3.84;1.71;2.13;0.94;0.31;28.00;-;-;3.00;1.00;-;2.00;-;3.00;3.00;-;3.00;-;-;-;8
Игорь Дружинин;Тюмень;199;99;ЗП ПЦ;-;-;-;-;-;1.00;2.00;2.00;-;1.00;-;-;-;-;-;-;75.00;79 %;2.00;50 %;1.00;100 %;13.00;69 %;3.00;0 %;1.00;0 %;4.00;50 %;3.00;67 %;9.00;3.00;-;5.00;2.00;4.00;21.00;52 %;10.00;60 %;11.00;45 %;9.00;44 %;2.00;100 %;-;-;5.00;60 %;11.00;7.00;1;1.00;-;-;118.00;92.00;78 %;-;-;-;-;0.33;-;-;-;1.71;3.84;-2.13;-;-;59.00;1.00;1.00;9.00;-;-;2.00;2.00;11.00;6.00;5.00;4.00;2.00;-;3.00;8
Максим Кайнов;Арсенал Тула;238;99;ЗП Ц;-;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;30.00;63 %;1.00;100 %;-;-;8.00;50 %;1.00;0 %;-;-;6.00;17 %;1.00;0 %;3.00;2.00;1.00;5.00;1.00;1.00;15.00;67 %;14.00;71 %;1.00;0 %;7.00;86 %;-;-;-;-;4.00;50 %;12.00;9.00;1;1.00;-;-;69.00;52.00;75 %;-;-;-;-;1.28;-;-;-;3.84;1.71;2.13;-;-;19.00;1.00;-;4.00;-;-;1.00;-;10.00;10.00;-;6.00;-;-;2.00;8
Александр Коротков;Арсенал Тула;230;99;З П;-;-;-;-;-;-;-;-;-;1.00;-;-;-;3.00;1.00;0.06;35.00;66 %;1.00;0 %;5.00;40 %;4.00;25 %;-;-;-;-;5.00;20 %;5.00;40 %;6.00;2.00;1.00;6.00;3.00;2.00;9.00;78 %;5.00;80 %;4.00;75 %;4.00;75 %;1.00;100 %;-;-;3.00;67 %;8.00;8.00;1;1.00;-;-;66.00;49.00;74 %;33 %;2.00;-;-;0.03;0.02;-;0.00;3.84;1.71;2.13;0.26;0.26;23.00;-;2.00;1.00;-;-;1.00;2.00;7.00;4.00;3.00;3.00;1.00;-;2.00;8
